"Story","Title","Result","Date","Stability","Duration (s)"
"Serenitytest","Get users failed","FAILURE","2023-09-08T12:04:16.773-05:00[America/Bogota]","0.0","2.72"
"Serenitytest","Get users","SUCCESS","2023-09-08T12:04:19.528-05:00[America/Bogota]","0.0","0.03"
